품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,제고/예비 생산 수량,수량,중량,바코드,상품명2,작업인원,작업시간,품종,원산지.1,바코드2,진열기간,입수*수량,작업난도,eta
293250,롯데슈퍼,멜로골드,32과,미국,KCP,32 SB 10,1.0,5.0,초이스,20.0,100.0,2230840000009.0,미국산메로골드32과/개,,,,,,,20.0,7.0,2.857142857142857
293267,에브리데이,멜로골드,32과,미국,KCP,32 SB 6,1.0,3.0,초이스,6.0,18.0,2500000117138.0,메로골드자몽,,,,,,,6.0,7.0,0.8571428571428571
293088,트레이더스,멜로골드,32과,미국,소박스,32 소박스 9,1.0,4.5,"초이스, 재고 30",98.0,441.0,2500000110597.0,미국산 메로골드자몽 7~9입/박스,,,,,,,98.0,7.0,14.0
293244,이마트,멜로골드,36과,미국,봉지,36 봉지 4,6.0,1.8,초이스,39.0,417.0,2500000050503.0,미국산 멜로골드자몽 4~5입/봉,,,,,,,234.0,7.0,33.42857142857143
293244,홈플러스마트,멜로골드,36과,미국,봉지,36 봉지 4,6.0,1.8,초이스,21.0,224.0,8809529025370.0,메로골드(미국)_4-5입(봉),,,,,,,126.0,7.0,18.0
293154,홈플러스마트,멜로골드,27과,미국,벌크,27과 벌크,1.0,16.0,초이스,11.0,176.0,8809048475335.0,메로골드(미국)_개특대,,,,,,,11.0,7.0,1.5714285714285714
293156,홈플러스슈퍼,멜로골드,36과,미국,벌크,36과 벌크,1.0,16.0,초이스,2.0,32.0,7121.0,메로골드(특)_(미국)개,,,,,,,2.0,7.0,0.2857142857142857
293155,이마트,멜로골드,32과,미국,벌크,32과 벌크,1.0,16.0,초이스,16.0,256.0,2426320000000.0,멜로골드자몽 (특),,,,,,,16.0,7.0,2.2857142857142856
272550,트레이더스,오렌지,56과,칠레,봉지,56 봉지 10,3.0,2.7,,84.0,675.0,2500000200113.0,칠레산 오렌지 2.5kg(봉),,,,,,,252.0,7.0,36.0
296955,트레이더스,자몽,40과,이스라엘,소박스,40 소박스 10,1.0,4.0,재고 12,240.0,960.0,2500000337727.0,이스라엘 자몽 7-11입/박스,,,,,,,240.0,7.0,34.285714285714285
111096,롯데마트,일반 고구마(저장),대,국내산,벌크,대 벌크 8kg,1.0,8.0,,5.0,40.0,2874070000004.0,부침용고구마(벌크),,,,,,,5.0,1.0,5.0
247201,,,,,,,,,,,,,,,,,,,,,,
247201,,,,,,,,,,,,,,,,,,,,,,
277563,트레이더스,레몬,115과,미국,봉지,115 봉 15,6.0,2.2,,132.0,1758.0,2500000191046.0,미국산 레몬 15~19입/봉,,,,,,,792.0,8.0,99.0
277586,롯데슈퍼,레몬,140과,미국,봉지,140 봉 2,6.0,0.2,,12.0,17.0,8801483219314.0,미국산레몬2입/봉,,,,,,,72.0,15.0,4.8
231850,에브리데이,참다래 그린,105과,국내산,캡,105 캡 9,6.0,0.9,,18.0,93.0,2500000206955.0,제주참다래(팩),,,,,,,108.0,12.0,9.0
231610,트레이더스,참다래 그린,78과,국내산,캡,78 캡 18,4.0,2.3,,86.0,795.0,2500000113000.0,제주 그린키위 2.2kg(팩),,,,,,,344.0,12.0,28.666666666666668
231938,이마트,참다래 그린,87과,국내산,캡,87 캡 11,8.0,1.3,,50.0,504.0,2500000087509.0,제주 그린키위/팩,,,,,,,400.0,12.0,33.333333333333336
231972,홈플러스마트,참다래 그린,87과,국내산,캡,87 캡 10,8.0,1.2,,4.0,37.0,8809919990035.0,국산_그린키위_9-13입(팩),,,,,,,32.0,12.0,2.6666666666666665
231094,에브리데이,참다래 그린,87과,국내산,트레이,87 TR 22,1.0,2.5,,3.0,8.0,2500000091025.0,제주 참다래세트,,,,,,,3.0,6.0,0.5
231094,홈플러스마트,참다래 그린,87과,국내산,트레이,87 TR 22,1.0,2.5,"공통 디자인
생산년도 : 2022년
중량:2.4kg(22입)
비표 부착, 합포장 X",68.0,172.0,8809070627306.0,국산그린키위_세트,,,,,,,68.0,6.0,11.333333333333334
231906,이마트,참다래 그린,95과,국내산,트레이,95 TR 20,1.0,2.1,"이마트 전용 자재
생산년도 : 2022년
합포장 O, 재고 10",110.0,231.0,2500000275548.0,(S) 참다래 그린키위 세트,,,,,,,110.0,6.0,18.33333333333333
231094,홈플러스마트,참다래 그린,87과,국내산,트레이,87 TR 22,1.0,2.5,"공통 디자인
생산년도 : 2022년
중량:2.4kg(22입)
비표 부착, 합포장 X",,137.0,8809070627306.0,국산그린키위_세트,,,,,,,0.0,13.0,0.0
261093,엠패스트,제주골드,52과,제주골드,트레이,52 TR 22,1.0,2.5,"공통 디자인, 진열기한X
생산년도 : 2022년
합포장 O",,74.0,5019303.0,제스프리 제주 골드키위 선물세트,,,,,,,0.0,6.0,0.0
261572,이마트,제주골드,59과,제주골드,트레이,59 TR 22,1.0,2.2,"공통 디자인
생산년도 : 2022년",,11.0,2500000274268.0,(S)제스프리 골드키위 세트(사전전용),,,,,,,0.0,6.0,0.0
261572,홈플러스마트,제주골드,59과,제주골드,트레이,59 TR 22,1.0,2.2,"공통 디자인
생산년도 : 2022년
중량:2.1kg(22입)
비표 부착 O, 합포장 X",,138.0,8809438334433.0,제스프리_제주골드키위_세트,,,,,,,0.0,6.0,0.0
261528,이마트,제주골드,52과,제주골드,캡,52 캡 9,8.0,1.0,,565.0,4520.0,2500000087523.0,제스프리 제주골드키위/팩,,,,,,,4520.0,22.0,205.45454545454547
105125,롯데마트,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10.0,0.7,상 + 상비품,25.0,175.0,400158420000.0,호박고구마(700g/봉),,,,,,,250.0,11.0,22.727272727272727
105039,롯데슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10.0,0.7,,1.0,7.0,2759610000006.0,호박고구마700G/봉,,,,,,,10.0,11.0,0.9090909090909092
108045,이마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,12.0,1.0,,20.0,240.0,2500000274831.0,호박고구마(1kg/봉),,,,,,,240.0,11.0,21.818181818181817
105144,홈플러스마트,호박 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,25.0,200.0,8809172890059.0,호박고구마_1KG봉,,,,,,,200.0,11.0,18.181818181818183
105089,홈플러스슈퍼,호박 고구마(저장),상,국내산,봉지,상 봉지 700g,10.0,0.7,,1.0,7.0,9988.0,호박고구마_700G(봉),,,,,,,10.0,11.0,0.9090909090909092
108044,이마트,호박 고구마(저장),중,국내산,봉지,중 봉지 1kg,12.0,1.0,작은 잔상 사용,11.0,132.0,2500000291333.0,한입 호박 고구마(1kg/봉),,,,,,,132.0,11.0,12.0
111237,이마트,일반 고구마(저장),중,국내산,봉지,중 봉지 1kg,12.0,1.0,,11.0,132.0,2500000291326.0,한입 밤고구마(1kg/봉),,,,,,,132.0,11.0,12.0
111207,롯데슈퍼,일반 고구마(저장),상,국내산,봉지,상 봉지 700g,10.0,0.7,상 + 상비품,15.0,105.0,2759600000009.0,밤고구마/700g/봉,,,,,,,150.0,11.0,13.636363636363637
111238,이마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,12.0,1.0,,24.0,288.0,2500000274824.0,밤고구마(1kg/봉),,,,,,,288.0,11.0,26.181818181818183
111185,홈플러스마트,일반 고구마(저장),상,국내산,봉지,상 봉지 1kg,8.0,1.0,,6.0,48.0,8809172890042.0,밤꿀고구마_1KG(봉),,,,,,,48.0,11.0,4.363636363636363
111105,롯데마트,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1.0,1.5,,163.0,245.0,400331700004.0,햇밤고구마(1.5KG/박스),,,,,,,163.0,13.0,12.538461538461538
111093,롯데슈퍼,일반 고구마(저장),특,국내산,소박스,특 소박스 1.5kg,1.0,1.5,,261.0,392.0,2270140000002.0,고구마/BOX,,,,,,,261.0,13.0,20.07692307692308
111106,홈플러스마트,일반 고구마(저장),특,국내산,소박스,특 소박스 2kg,1.0,2.0,,2212.0,4424.0,8809048243248.0,해남밤고구마_2KG(박스),,,,,,,2212.0,13.0,170.15384615384616
261534,홈플러스마트,제주골드,59과,제주골드,캡,59 캡 9,8.0,0.9,,41.0,289.0,8809048474482.0,제스프리_골드키위(제주)_7-10입(팩),,,,,,,328.0,15.0,21.866666666666667
261540,홈플러스슈퍼,제주골드,59과,제주골드,팩,59 캡 8,6.0,0.8,,15.0,70.0,8801483023577.0,제주골드키위_7-9입_(팩),,,,,,,90.0,15.0,6.0
261531,롯데슈퍼,제주골드,59과,제주골드,캡,59 캡 9,6.0,0.9,,13.0,69.0,8801483003760.0,제스프리제주골드키위7~10입/팩,,,,,,,78.0,15.0,5.2
261532,에브리데이,제주골드,59과,제주골드,캡,59 캡 9,6.0,0.9,,13.0,69.0,2500000206320.0,제주 골드키위(팩),,,,,,,78.0,15.0,5.2
261537,노브랜드,제주골드,59과,제주골드,팩,59 캡 8,4.0,0.8,"행사 스펙, I-750H
*홈플 골드 스티커에
바코드 덧방",106.0,331.0,2087685921958.0,제스프리제주골드키위,,,,,,,424.0,15.0,28.266666666666666
261111,에브리데이,제주골드,59과,국내산,트레이,59 TR 25,1.0,2.5,"공통 디자인
생산년도 : 2022년
진열기한 X,  합포장 O
재고 65",117.0,288.0,8801481235675.0,제스프리 제주골드키위세트,,,,,,,117.0,6.0,19.5
261111,이마트,제주골드,59과,국내산,트레이,59 TR 25,1.0,2.5,"이마트 전용 자재
생산년도 : 2022년
합포장 O",160.0,394.0,2500000055102.0,(S)제스프리 제주 골드키위,,,,,,,160.0,6.0,26.666666666666668
261572,홈플러스마트,제주골드,59과,제주골드,트레이,59 TR 22,1.0,2.2,"공통 디자인
생산년도 : 2022년
중량:2.1kg(22입)
비표 부착 O, 합포장 X",200.0,432.0,8809438334433.0,제스프리_제주골드키위_세트,,,,,,,200.0,6.0,33.333333333333336
261572,홈플러스슈퍼,제주골드,59과,제주골드,트레이,59 TR 22,1.0,2.2,"공통 디자인
바코드 덧방X
생산년도 : 2022년
중량:2.1kg(22입)
비표 부착 O, 합포장 X",508.0,1097.0,8801483003715.0,제스프리_골드키위세트(BOX),,,,,,,508.0,6.0,84.66666666666667
261450,트레이더스,제주골드,48과,제주골드,팩,48 캡 11,6.0,1.3,재고 33,99.0,790.0,2500000113017.0,제스프리 제주골드키위 1.3kg/팩,,,,,,,594.0,15.0,39.6
261465,트레이더스,제주골드,41과,제주골드,트레이,41 TR 18,1.0,2.6,작업 X,48.0,122.0,2500000038280.0,제스프리 제주 점보골드키위세트,,,,,,,48.0,,
261298,롯데마트,제주골드,52과,제주골드,트레이,52 TR 20,1.0,2.2,작업 X,83.0,185.0,8801483003715.0,제스프리제주골드키위,,,,,,,83.0,,
297600,에브리데이,아보카도,18과,칠레,캡,18 캡 5,4.0,1.1,,60.0,266.0,2500000298288.0,(C)대용량아보카도(5~6입/팩),,,,,,,240.0,8.0,30.0
297615,트레이더스,아보카도,18과,칠레,봉지,18 봉 8,6.0,1.8,재고 12,127.0,1349.0,2500000306754.0,칠레산 아보카도 7-9입,,,,,,,762.0,12.0,63.5
296121,롯데슈퍼,자몽,48과,미국,봉지,48 봉 2,4.0,0.7,,13.0,35.0,8801483219307.0,미국산자몽2입/봉,,,,,,,52.0,,
279041,이마트,라임,175과,멕시코,KCP,175 SB 21,1.0,2.1,,1.0,2.0,2364540000000.0,멕시코산 라임 21입,,,,,,,1.0,,
279067,롯데마트,라임,200과,멕시코,KCP,200 SB 21,1.0,1.8,,20.0,37.0,2609960000006.0,멕시코라임(벌크),,,,,,,20.0,,
279045,롯데슈퍼,라임,200과,멕시코,팩,200 팩 3,4.0,0.3,,7.0,7.0,8801483021351.0,멕시코산라임3입/팩,,,,,,,28.0,,
279045,에브리데이,라임,200과,멕시코,팩,200 팩 3,4.0,0.3,,6.0,6.0,2500000091933.0,라임(3입/팩),,,,,,,24.0,,
279184,트레이더스,라임,200과,멕시코,봉지,200 봉 13,8.0,1.1,재고 2,11.0,100.0,2500000261244.0,멕시코산 라임 1kg(봉),,,,,,,88.0,,
279045,홈플러스마트,라임,200과,멕시코,팩,200 팩 3,6.0,0.3,,20.0,31.0,8801483021351.0,상큼한라임(멕시코산)_3입(팩)(240g내외),,,,,,,120.0,,
279045,홈플러스슈퍼,라임,200과,멕시코,팩,200 팩 3,3.0,0.3,,7.0,5.0,8801483021351.0,상큼한라임(멕시코산)_3입(팩)(240g내외),,,,,,,21.0,,
